dataset,horizon,model_group,model,timestamp,training_time,mae,rmse
RTFMP,1,baseline,naive_mean,2025-02-04 13:20:27,0.00145721435546875,5.301265657262714,16.08118007719906
RTFMP,1,baseline,persistence,2025-02-04 13:20:34,0.001455068588256836,3.7860538827258323,16.302052261705587
RTFMP,1,baseline,naive_seasonal,2025-02-04 13:20:41,0.0017757415771484375,3.7816312239708108,16.168465401906243
RTFMP,1,baseline,naive_drift,2025-02-04 13:20:47,0.0015099048614501953,3.8640690744095383,16.37200059125298
RTFMP,1,baseline,naive_moving_average,2025-02-04 13:20:55,0.0033397674560546875,3.705078730352193,16.07232469320638
RTFMP,1,statistical,four_theta,2025-02-09 21:06:34,0.7817482948303223,3.8357111959769825,16.0163569810014
RTFMP,1,statistical,theta,2025-02-09 21:06:58,0.7193748950958252,3.6392020045249276,16.044521561468677
RTFMP,1,statistical,prophet,2025-02-09 21:07:44,22.09816598892212,3.904359364061634,16.319927188271013
RTFMP,1,statistical,exp_smoothing,2025-02-09 21:08:42,32.44880223274231,inf,inf
RTFMP,1,statistical,auto_arima,2025-02-09 21:58:50,2967.701971769333,5.060392006125302,17.577606584353067
RTFMP,1,statistical,tbats,2025-02-10 00:22:17,8488.720160245895,3.646967062538893,15.925306180755168
RTFMP,1,regression,random_forest,2025-02-10 14:41:17,12717.875385046005,4.981627906976744,4.981627906976744
RTFMP,1,regression,xgboost,2025-02-10 16:02:30,4847.559657335281,3.973201347168448,3.973201347168448
RTFMP,1,regression,lightgbm,2025-02-10 16:34:48,1909.739381313324,0.987705088154435,0.987705088154435
RTFMP,1,deep_learning,deepar,2025-02-11 20:24:27,1385.7675034999847,5.158139643749584,16.087199480842546
RTFMP,1,deep_learning,transformer,2025-02-11 21:16:05,2995.556058883667,5.597854984903911,16.30152805958555
RTFMP,7,baseline,naive_mean,2025-02-04 13:23:40,0.0012240409851074219,5.301265657262714,16.08118007719906
RTFMP,7,baseline,persistence,2025-02-04 13:23:47,0.0018372535705566406,3.7860538827258323,16.302052261705587
RTFMP,7,baseline,naive_seasonal,2025-02-04 13:23:54,0.001730203628540039,3.7816312239708108,16.168465401906243
RTFMP,7,baseline,naive_drift,2025-02-04 13:24:01,0.0017290115356445312,3.8640690744095383,16.37200059125298
RTFMP,7,baseline,naive_moving_average,2025-02-04 13:24:08,0.003831148147583008,3.705078730352193,16.07232469320638
RTFMP,3,statistical,prophet,2025-02-07 19:27:45,26.018598318099976,12.10533985736579,22.25441402879758
RTFMP,3,statistical,auto_arima,2025-02-07 19:24:45,2689.1320247650146,29.125810865229532,40.26507378881536
